active_sessions,crc_errors_per_second,buffer_memory_utilization_percent,unplanned_restarts_last_24h,dropped_packets_due_to_buffer_full_last_hour,target
1697,0.007128,34.6,0,24,0
3160,0.00478,61.8,0,55,0
2793,0.005951,49.0,0,39,0
4991,0.055896,100.0,0,84,1
3727,0.004312,95.0,1,74,0
1463,0.006018,98.4,0,41,0
2081,0.001433,86.6,2,11,0
1763,0.000491,91.0,0,7,0
1629,0.014935,21.7,1,9,0
2138,0.008456,83.1,1,9,0
3402,0.014301,70.9,0,127,0
2337,0.001624,96.3,0,70,0
1406,0.008482,57.1,1,28,0
4129,0.002926,8.5,0,31,0
2775,0.002589,59.7,0,58,0
1382,0.027598,76.9,1,95,1
809,0.001397,22.0,0,20,0
4844,0.0037,39.4,1,24,0
4513,0.001243,59.9,0,6,0
3848,0.042586,37.4,0,33,0
4879,0.003691,37.5,0,19,0
763,0.001396,13.3,0,166,0
2098,0.00222,94.1,1,19,0
3545,0.00886,75.0,1,26,0
3843,0.000662,0.1,0,46,0
1595,0.019837,76.6,1,17,0
3404,0.032571,74.0,0,68,0
3863,0.002834,1.0,0,15,0
1953,0.00598,37.0,0,113,0
4759,0.000224,60.7,0,72,0
1391,0.010236,45.3,1,10,0
3681,0.017135,91.2,1,94,1
3557,0.003148,42.5,0,12,0
1736,0.002317,15.4,0,6,0
3796,0.010614,97.6,0,21,0
3099,0.005382,24.2,0,13,0
3252,0.00198,71.8,1,92,0
798,0.036357,20.6,0,85,1
2260,0.008326,32.9,1,71,0
4197,0.019567,44.2,0,30,0
4837,0.00125,19.2,0,68,0
954,0.052508,56.9,0,72,1
3574,0.011194,15.7,0,40,0
1807,0.001222,55.9,0,20,0
2877,0.042249,80.2,0,121,1
1833,0.005826,6.2,1,24,0
3610,0.053131,100.0,1,35,1
302,0.001527,18.5,0,10,0
3355,0.010296,22.5,0,40,0
4318,0.004812,66.1,0,62,0
4596,0.031423,46.9,0,18,0
866,0.004004,49.9,0,9,0
4489,0.073871,21.3,0,88,1
2427,0.048336,86.3,1,33,1
3031,0.003152,61.7,2,31,0
297,0.016273,13.5,0,13,0
2030,0.09279,45.9,0,46,1
3682,0.002912,81.0,1,10,0
708,0.005741,56.8,0,39,0
3372,0.007343,10.9,0,142,0
1247,0.003495,37.3,0,58,0
4382,0.013043,29.7,1,106,1
3497,0.002486,51.7,0,50,0
2611,0.003312,84.3,0,39,0
1894,0.005863,43.6,1,89,0
759,0.001877,43.3,2,23,0
2911,0.020656,90.5,0,24,0
1469,0.012205,57.6,0,56,0
2086,0.000891,56.6,0,53,0
246,0.010501,26.2,0,104,0
3319,0.010603,60.8,0,20,0
3011,0.031286,57.6,0,10,0
1834,3e-05,39.7,0,19,0
1943,0.002849,99.1,0,73,0
588,0.026282,88.2,0,60,0
3076,0.026902,75.0,0,8,0
2059,0.060878,62.2,1,132,1
2485,0.014514,46.2,1,35,0
3019,0.000959,18.5,2,81,0
4836,0.021132,39.0,1,87,1
1902,0.027181,85.9,0,84,1
4161,0.001999,45.4,1,18,0
3469,0.047957,94.7,0,115,1
362,0.001451,14.8,0,69,0
723,0.006323,50.8,1,23,0
1116,0.0279,64.7,1,49,0
3743,0.002056,51.7,0,14,0
2149,0.038164,88.9,0,8,0
3823,0.051652,99.0,0,52,0
4648,0.008111,11.6,2,29,0
3208,0.001865,13.0,0,35,0
4190,0.0038,13.0,1,21,0
2156,0.005525,68.1,1,23,0
3270,0.003701,37.3,1,31,0
1782,0.003294,73.3,0,51,0
2355,0.035838,40.5,1,59,0
1254,0.001665,62.8,0,19,0
4599,0.053735,88.9,0,105,1
3291,4e-06,54.8,1,74,0
1796,0.009068,54.0,1,23,0
4091,0.036997,16.6,0,141,1
4823,0.003396,41.1,0,13,0
4782,0.002052,54.6,0,63,0
1748,0.010546,46.2,2,52,0
1545,0.012469,90.1,1,38,0
4299,0.029123,100.0,0,190,1
4023,0.003847,82.2,0,44,0
353,0.002906,37.5,1,44,0
3283,0.031217,71.7,1,54,0
2657,0.063161,52.8,0,18,1
198,0.006112,23.3,0,59,0
2300,0.057049,43.0,1,45,1
3061,0.006021,7.1,1,24,0
4533,0.005523,33.2,0,75,0
3877,0.022681,58.0,1,28,1
2969,0.005558,95.5,1,23,0
3334,0.007709,31.3,1,69,0
3891,0.000228,90.2,1,35,0
1056,0.005872,22.9,0,1,0
4167,0.025699,32.2,0,190,1
260,0.011396,51.9,0,70,0
4593,0.010083,67.3,0,60,0
1400,0.02403,4.4,0,23,0
4087,0.000182,22.1,2,77,0
1627,0.008143,45.6,1,90,0
1318,0.015481,33.1,1,59,0
4596,0.007794,71.3,1,24,0
4835,0.003914,51.1,1,102,0
3204,0.001465,16.0,1,47,0
2835,0.021854,89.4,1,8,0
4655,0.038517,34.3,0,81,1
1054,0.021047,73.1,0,31,0
4665,0.008815,78.0,1,6,0
3546,0.011214,96.3,2,38,0
1145,0.01631,49.9,1,57,0
1793,0.010763,61.6,1,8,0
3536,0.005076,33.5,0,21,0
662,0.007208,67.8,2,50,0
2585,0.016248,46.3,0,21,0
3454,0.004678,43.8,0,66,0
325,0.004912,85.5,1,28,0
4993,0.001006,5.0,0,29,0
1059,0.024602,88.2,0,24,0
4648,0.000955,85.2,0,30,0
3167,0.010447,50.6,1,12,0
915,0.005331,49.0,1,9,0
4854,0.005202,36.2,0,41,0
4742,0.01138,99.4,0,33,0
3220,0.000695,11.1,1,37,0
116,0.036206,73.8,0,102,1
1343,0.038364,75.9,0,98,1
2305,0.017615,93.4,0,20,0
2624,0.00187,78.0,1,14,0
1169,0.022771,64.4,0,30,0
3544,0.010675,11.7,0,80,0
2665,0.021358,37.4,1,25,0
1160,0.006641,13.9,0,79,0
2427,0.00781,88.1,0,79,0
3520,0.025138,75.0,0,36,0
401,0.023017,75.8,0,14,0
4376,0.005945,65.2,0,33,0
706,0.030207,62.4,0,141,1
3270,0.004995,15.0,0,34,0
799,0.004906,33.0,0,12,0
1239,0.003381,13.7,3,18,0
290,0.003128,72.5,0,62,0
2400,0.019737,16.0,1,45,0
1080,0.000724,70.2,0,8,0
3075,0.01132,69.2,0,23,0
1284,0.001897,45.9,0,93,0
3427,0.004224,13.5,2,21,0
3494,0.000635,31.5,1,38,0
227,0.003147,32.0,1,20,0
2165,0.014628,70.0,1,26,0
1916,0.052559,17.3,2,123,1
669,0.002504,82.9,0,3,0
1995,0.006228,76.1,0,46,0
2833,0.006355,18.6,0,75,0
3963,0.020681,71.9,0,6,0
4821,0.014388,66.9,1,40,0
4114,0.007196,74.8,0,54,0
3001,0.011109,18.9,1,12,0
1786,0.018796,15.8,0,17,0
3109,9.6e-05,23.6,1,122,0
254,0.005157,36.6,0,73,0
2637,0.023778,79.4,0,10,0
1509,0.013483,73.8,0,31,0
4157,0.007827,92.5,0,14,0
884,0.007543,5.9,0,37,0
3275,0.004274,1.2,1,69,0
4441,0.007351,69.9,0,46,0
2906,0.010653,27.9,0,11,0
637,0.005419,33.4,0,93,0
1941,0.012523,54.7,0,58,0
2555,0.01975,10.2,1,19,0
624,0.040046,77.9,0,80,1
3050,0.006007,32.5,0,30,0
4231,0.005243,63.3,1,12,0
4880,0.01163,83.4,0,118,0
4215,0.002875,17.1,0,6,0
2468,0.010223,93.1,0,9,0
3947,0.020996,53.1,0,37,0
4595,0.03208,100.0,1,126,1
2801,0.024193,20.8,0,62,0
1071,0.049855,60.5,1,10,0
1266,0.001122,40.4,0,135,0
2874,0.047182,88.0,0,145,1
2082,0.030034,60.6,0,47,0
953,0.047799,55.7,1,72,1
4246,0.001028,91.3,2,30,0
3836,0.000151,37.7,0,4,0
3869,0.048362,36.1,0,158,1
674,0.055247,60.8,0,11,0
3361,0.001985,62.4,0,16,0
1248,0.006983,43.9,0,12,0
1815,0.018866,48.7,1,3,0
4877,0.000206,96.0,0,22,0
3954,0.009276,73.3,0,8,0
2591,0.003244,11.1,0,44,0
2760,0.019829,21.2,1,58,0
3224,0.003333,97.6,0,75,0
3151,0.048118,82.6,2,67,1
104,0.011215,91.5,1,53,0
4969,0.002504,30.4,0,14,0
976,0.039435,86.1,0,66,1
1091,0.046953,86.2,0,68,1
4242,0.003414,29.5,0,9,0
4464,0.047428,65.9,1,43,1
4565,0.016113,62.7,1,8,0
735,0.006107,48.1,1,36,0
1793,0.009327,82.7,1,29,0
1782,0.00927,83.3,0,9,0
4852,0.017554,85.1,0,23,0
219,0.005534,80.3,1,37,0
930,0.003222,48.8,0,67,0
3775,0.003079,38.1,0,31,0
1469,0.007683,83.1,0,5,0
840,0.005963,49.0,1,29,0
216,0.021447,39.1,1,91,1
2938,0.000956,50.7,0,31,0
1250,0.01268,14.2,4,5,0
2031,0.002405,69.2,0,66,0
1112,0.002193,33.6,2,41,0
1764,0.005323,26.1,0,66,0
1181,0.002585,95.7,1,81,0
4829,0.008767,77.7,0,94,0
612,0.004644,78.7,0,70,0
2949,0.005959,62.4,1,13,0
659,0.007704,83.9,0,25,0
3772,0.002276,75.9,0,72,0
4683,0.001693,59.9,1,41,0
3443,0.021238,96.1,1,33,0
4170,0.005687,19.2,0,161,0
4899,0.005312,94.3,1,36,0
1570,0.000363,40.1,0,95,0
680,0.006891,52.8,0,78,0
2394,0.008078,12.3,1,43,0
3247,0.008183,54.0,0,49,0
4349,0.012277,61.1,1,11,0
1779,0.001954,99.8,0,33,0
3606,0.002907,97.5,0,37,0
2844,0.016646,96.6,1,40,0
3456,0.029407,34.8,1,19,0
4145,0.001461,99.1,0,39,0
1343,0.006885,45.5,1,19,0
3218,0.00241,85.2,0,65,0
2241,0.00062,21.6,1,50,0
3159,0.003938,50.6,0,21,0
4648,0.001551,96.6,0,55,0
3059,0.012376,94.7,0,35,0
2365,0.00763,68.4,0,59,0
2579,0.001553,79.8,1,47,0
4746,9.3e-05,17.6,0,38,0
1735,0.016511,72.2,0,45,0
1857,0.001938,61.8,0,54,0
4552,0.050048,16.3,0,102,1
2170,0.004109,11.3,0,85,0
2949,0.008806,10.8,0,103,0
3351,0.003793,72.4,0,47,0
3830,0.00091,14.2,0,25,0
2589,0.002523,46.8,1,23,0
1731,0.002083,35.7,4,80,0
2916,0.005587,55.1,0,7,0
1115,0.023336,79.8,0,123,1
1448,0.003063,68.5,1,7,0
4711,0.000121,51.6,0,73,0
3187,0.007318,46.4,1,25,0
2939,0.009308,39.8,0,76,0
435,0.032933,86.2,0,36,0
4692,0.008903,33.1,2,27,0
995,0.006371,25.9,1,22,0
3646,0.008519,74.3,1,40,0
951,0.026297,36.0,1,10,0
1787,0.057234,95.0,0,103,1
2031,0.003901,32.8,1,8,0
3846,0.002708,70.2,0,22,0
2527,0.003047,4.5,1,34,0
1668,0.04178,51.3,0,143,1
4100,0.013628,34.3,1,24,0
2838,0.024639,89.5,1,99,1
3598,0.000702,96.7,0,15,0
4013,0.012858,46.1,0,49,0
1166,0.016397,82.5,0,33,0
4480,0.003418,70.0,0,6,0
2544,0.027463,100.0,2,59,1
4207,0.005562,81.1,1,15,0
3473,0.038824,22.4,0,120,1
4069,0.018658,71.3,0,55,0
2646,0.007454,53.5,0,38,0
853,0.011761,1.6,1,46,0
2182,0.021486,25.1,0,46,0
2874,0.006846,92.2,0,14,0
2996,0.003758,92.6,0,9,0
4285,0.014011,79.9,0,29,0
875,0.002485,98.2,1,16,0
1725,0.004919,80.7,0,58,0
3169,0.020079,1.0,0,2,0
517,0.012889,28.8,1,24,0
214,0.005172,3.1,1,38,0
716,0.002417,9.4,0,6,0
4074,0.0044,21.9,1,86,0
3367,0.031193,59.6,0,103,1
925,0.015393,96.1,0,203,1
1616,0.0136,86.2,1,50,0
3246,0.022722,70.7,1,127,1
512,0.006054,92.8,0,53,0
828,0.004875,50.0,0,39,0
3448,0.060457,99.6,0,34,1
2908,0.004961,45.4,0,23,0
775,0.000834,27.7,0,44,0
3565,0.000941,91.6,0,3,0
2604,0.008934,38.8,1,49,0
3067,0.034268,56.2,0,93,1
2886,0.005426,32.9,0,47,0
1222,0.005654,66.3,0,63,0
4179,0.000554,99.5,0,11,0
1671,0.007268,2.6,0,38,0
2243,0.056541,100.0,1,74,1
1787,0.00162,0.4,1,52,0
4232,0.001096,36.4,1,26,0
3951,0.001319,16.9,0,57,0
3540,0.001065,75.7,1,35,0
3866,0.009409,5.1,0,67,0
2426,0.035235,70.1,0,124,1
3014,0.002896,29.5,1,8,0
4052,0.001906,13.4,2,32,0
695,0.067382,83.8,0,104,1
828,0.019284,21.7,2,75,0
1465,0.00262,22.4,1,3,0
4592,0.003969,27.5,1,17,0
798,0.002356,58.7,1,24,0
495,0.022578,78.1,0,208,1
4271,0.000198,1.8,0,19,0
4460,0.011128,24.2,0,15,0
2602,0.044138,51.8,0,107,1
1919,0.022891,33.2,1,29,0
817,0.001796,88.4,0,18,0
2882,0.054685,89.9,0,111,1
3677,0.0157,62.6,0,26,0
243,0.00136,33.8,3,25,0
3240,0.005084,70.1,0,89,0
4591,0.001865,84.4,0,28,0
3038,0.00294,59.5,0,77,0
3736,0.003055,78.4,1,85,0
3322,0.008125,74.9,0,13,0
1267,0.030107,68.3,1,52,1
2716,0.029514,31.2,0,14,0
1162,0.001351,74.6,1,39,0
2256,0.048761,30.6,1,67,1
3082,0.002622,77.9,0,53,0
3394,0.014823,80.5,0,15,0
4829,0.00414,82.2,0,19,0
1256,0.001544,47.3,0,48,0
832,0.019511,19.2,1,72,0
4430,0.003694,10.0,1,58,0
4946,0.057993,86.7,0,44,1
1053,0.008357,88.6,2,1,0
2639,0.006382,65.1,0,21,0
3424,0.006848,14.4,1,10,0
3401,0.013177,93.5,0,111,0
1642,0.000919,98.9,0,40,0
1291,0.011032,43.3,0,25,0
3093,0.022616,59.5,0,7,0
2781,0.000595,77.7,1,8,0
1317,0.001516,73.6,0,28,0
1640,0.01261,96.8,1,18,0
3336,0.00575,11.5,0,24,0
2486,0.038357,65.9,1,120,1
3819,0.001473,69.2,0,91,0
1488,0.007068,89.0,0,39,0
1956,0.013292,100.0,1,122,1
1465,0.024179,100.0,0,113,1
599,0.014423,51.2,1,15,0
1780,0.002988,83.1,1,56,0
610,0.006554,42.7,0,20,0
4412,0.048303,42.2,0,12,0
1424,0.011604,25.3,0,9,0
1255,0.062266,95.9,1,146,1
1927,0.005359,98.6,0,76,0
3241,0.014604,25.6,1,49,0
3586,0.000414,5.6,0,60,0
1910,0.047997,91.3,0,104,1
3023,0.00227,62.0,0,19,0
2314,0.005141,96.0,1,18,0
4286,0.018691,25.2,0,30,0
813,0.004251,7.1,0,15,0
3702,0.010631,49.2,1,84,0
4234,0.012355,8.5,1,131,0
3622,0.008823,26.2,0,61,0
4368,0.043221,23.0,0,15,1
4848,0.008605,22.4,0,23,0
4949,0.00419,10.6,1,35,0
1343,0.000876,95.4,0,17,0
3809,0.049342,27.9,0,84,0
1181,0.030238,52.0,0,26,1
555,0.000751,89.9,0,21,0
994,0.021081,67.7,0,24,0
1484,0.003593,61.8,0,26,0
2058,0.053151,77.7,1,29,1
3172,0.00399,82.9,2,11,0
2096,0.004967,87.8,0,1,0
4385,0.00304,64.3,0,31,0
604,0.004201,89.0,1,20,0
1314,0.005288,53.5,0,3,0
1631,0.012745,27.7,0,30,0
3540,0.007165,88.0,2,60,0
923,0.028747,54.1,0,11,0
1028,0.000428,90.6,1,59,0
233,0.006993,4.0,0,54,0
2205,0.008776,39.8,0,82,0
3727,0.025282,94.8,1,30,0
4880,0.000504,25.0,0,54,0
1952,0.008521,94.2,0,19,0
4275,0.019216,95.4,2,44,0
3033,0.00277,88.2,1,9,0
3384,0.020898,56.4,0,43,0
4398,0.000192,64.7,1,48,0
2911,0.013185,87.0,0,24,0
1350,0.027048,77.6,0,42,0
3612,0.010706,63.0,2,4,0
1356,0.005781,98.2,0,10,0
3476,0.050251,76.3,1,105,1
3586,0.025272,97.5,1,73,0
3684,0.006354,5.7,0,11,0
1496,0.000294,13.9,0,37,0
3737,0.011706,45.1,0,8,0
3430,0.006575,38.5,1,54,0
2803,0.001328,78.3,0,1,0
570,0.002411,16.1,0,52,0
1453,0.000667,97.6,0,20,0
2883,0.00854,31.5,1,15,0
2931,0.009729,42.9,0,38,0
457,0.007047,27.5,1,52,0
3119,0.016988,57.9,0,119,0
767,0.019733,5.9,0,117,0
4568,0.009561,15.0,1,34,0
1245,0.033335,86.5,1,43,1
4285,0.011882,18.7,0,29,0
3819,0.005413,23.6,0,43,0
2845,0.054762,91.4,0,90,1
639,0.010472,9.3,4,27,0
2879,0.004311,43.7,1,20,0
4236,0.024901,2.3,0,20,0
4935,0.001438,34.7,0,37,0
3875,0.011133,69.9,1,51,0
2608,4.4e-05,9.0,1,11,0
2879,0.025856,88.8,0,13,0
1024,0.001194,90.9,2,42,0
3056,0.000997,10.5,1,37,0
1681,0.02554,100.0,1,116,1
3424,0.004677,29.8,0,98,0
4585,0.002412,8.4,0,21,0
355,0.008798,0.5,0,45,0
4904,0.00585,40.9,0,49,0
1938,0.000348,63.0,0,14,0
2044,0.003852,33.2,0,21,0
109,0.065296,98.4,1,119,1
2971,0.011702,71.7,0,30,0
897,0.012905,35.0,2,8,0
1115,0.011977,73.4,0,31,0
1924,0.003725,94.0,0,84,0
4569,0.00105,9.3,0,23,0
3236,0.003181,30.6,0,22,0
2293,0.017825,46.3,1,8,0
323,0.066989,64.4,1,131,1
4258,0.006809,54.2,0,17,0
4025,9.7e-05,30.1,0,13,0
4884,0.001509,66.7,1,31,0
4100,0.033506,75.0,0,68,1
1733,0.008641,57.8,0,15,0
2252,0.000781,11.4,0,15,0
610,0.02871,47.7,0,69,0
484,0.004543,35.6,0,58,0
504,0.024371,49.1,0,16,0
4713,0.025527,100.0,1,55,1
4671,0.014083,48.1,0,114,0
2100,0.009332,1.4,0,9,0
2856,0.029019,54.9,0,67,1
1768,0.010161,82.1,0,15,0
1560,0.049711,87.4,1,97,1
3736,0.045534,57.0,0,100,1
2824,0.042987,25.0,1,41,0
4909,0.013179,46.5,0,32,0
4278,0.015003,56.4,1,6,0
2148,0.058856,100.0,0,97,1
4246,0.002429,64.4,1,106,0
4880,0.000875,69.4,0,19,0
816,0.046444,56.7,1,98,1
4644,0.007217,35.4,1,13,0
4683,0.017672,81.3,0,53,0
1923,0.005866,49.5,0,77,0
2181,0.00846,99.5,0,40,0
3519,0.007488,45.7,0,40,0
1674,0.00039,6.8,1,7,0
349,0.009551,68.3,0,76,0
773,0.017605,4.7,0,27,0
4633,0.028652,39.6,3,106,1
2265,0.009022,35.4,0,66,0
870,0.009004,73.9,0,3,0
4062,0.001793,49.4,1,21,0
4463,0.001318,2.9,0,13,0
2084,0.039146,61.7,0,35,0
1177,0.005004,41.1,0,22,0
335,0.00258,92.2,0,23,0
488,0.001879,50.0,0,51,0
3137,0.011014,70.9,0,13,0
4958,0.009402,21.9,0,51,0
1948,0.010316,76.1,0,51,0
4819,0.000921,72.1,1,32,0
2914,0.022399,90.4,1,64,0
3474,0.004931,3.4,0,26,0
3378,0.00376,44.8,0,8,0
1352,0.006206,67.9,1,27,0
4081,0.050209,15.1,0,108,1
4773,0.01992,41.1,0,43,0
2222,0.026488,94.2,0,42,0
4630,0.003616,43.6,0,33,0
2250,0.019946,98.5,0,28,0
4959,0.015211,5.7,0,25,0
1429,0.026709,71.8,0,17,0
1458,0.00282,58.1,1,20,0
2582,0.024515,56.3,0,81,1
4642,0.03981,100.0,1,58,1
2117,0.036963,27.8,0,58,1
1431,5.3e-05,89.6,0,22,0
4444,0.00832,69.1,1,32,0
4361,0.004143,25.9,1,19,0
1458,0.003896,90.2,0,159,0
4737,0.010354,42.9,2,11,0
4954,0.043701,89.6,1,107,1
3277,0.009395,38.9,2,41,0
2228,0.019185,85.1,0,2,0
2280,0.003073,63.7,0,119,0
4992,0.007329,14.1,0,68,0
237,0.005988,65.0,0,82,0
3572,0.016727,25.9,1,62,1
2932,0.008138,41.2,0,18,0
3679,0.010833,17.0,1,39,0
3131,0.008963,2.2,0,52,0
4264,0.013329,21.2,0,84,0
2693,0.008471,53.6,0,12,0
4400,0.000691,48.2,0,81,0
3918,0.001238,50.1,1,78,0
4238,0.009075,24.8,1,104,0
3923,0.003216,68.5,1,17,0
4142,0.00083,70.4,0,10,0
2006,0.02689,48.0,1,165,1
860,0.057928,95.0,0,42,1
3545,0.003986,64.4,1,53,0
999,0.012745,71.3,0,38,0
4555,0.010322,27.7,1,4,0
3047,0.004047,0.1,0,16,0
1819,0.01406,86.5,1,89,0
380,0.010461,82.2,1,10,0
3366,0.010146,12.3,1,47,0
1987,0.008062,37.4,0,25,0
3366,0.029605,71.6,1,40,1
766,0.059513,75.4,0,19,1
4288,0.004717,86.0,0,22,0
771,0.028579,14.0,0,35,0
2069,0.017037,43.0,0,36,0
4256,0.00886,9.7,0,12,0
3222,0.002906,39.0,0,50,0
4799,0.002278,1.5,0,48,0
4877,0.004161,89.8,1,35,0
4000,0.006473,52.7,0,29,0
623,0.003511,85.0,0,27,0
2493,0.007235,6.0,1,45,0
3217,0.001808,22.7,0,27,0
2693,0.038037,25.9,1,19,0
2068,0.001142,38.7,0,24,0
1853,0.026874,80.3,0,1,0
2396,0.024485,38.7,0,111,0
2361,0.007452,20.5,0,58,0
2386,0.012907,6.5,1,45,0
4302,0.005728,7.9,0,47,0
2978,0.009943,76.0,1,8,0
4243,0.004164,44.5,0,134,0
3744,0.003583,72.6,0,59,0
4532,0.058398,73.9,0,57,1
2155,0.006894,13.5,1,38,0
4820,0.008664,14.3,1,17,0
1376,0.003378,75.5,0,30,0
2866,0.043703,82.2,0,75,1
402,0.019108,46.4,1,78,1
738,0.050214,19.5,0,96,1
155,0.002923,1.2,0,42,0
4921,0.000771,28.8,2,66,0
625,0.001096,0.9,1,104,0
4669,0.016763,23.0,0,6,0
4223,0.000396,42.0,0,20,0
2225,0.010757,12.1,0,60,0
3387,0.003182,10.4,0,9,0
464,0.020522,89.6,1,25,0
4721,0.006636,58.5,1,12,0
1746,0.029403,100.0,1,149,1
1018,0.007291,34.6,1,97,0
2897,0.004812,67.7,1,12,0
1631,0.008308,20.5,0,47,0
3445,0.017496,69.7,1,74,1
2006,0.05806,13.0,0,22,0
3186,0.005544,0.2,0,58,0
4680,0.004281,93.2,0,14,0
2175,0.012386,55.5,1,49,0
813,0.004524,92.7,0,18,0
1162,0.017914,33.4,0,0,0
2076,0.006056,32.8,0,19,0
1396,0.059489,48.5,0,56,1
225,0.001137,70.6,2,20,0
4732,0.018716,56.6,1,11,0
3696,0.013307,92.5,0,22,0
3383,0.002379,2.5,0,90,0
1703,0.00157,70.8,0,21,0
166,0.003802,33.0,1,53,0
332,0.037326,18.0,1,80,0
2256,0.002968,51.0,3,57,0
1269,0.00609,50.5,0,44,0
2258,0.000305,13.7,0,21,0
4306,0.005062,20.2,1,21,0
1593,0.00847,40.8,1,44,0
4818,0.030603,40.9,0,25,0
4107,0.007272,31.8,0,33,0
2572,0.017099,14.9,1,49,0
2760,0.007921,0.4,0,28,0
2839,0.000416,97.0,0,44,0
1861,0.003783,94.3,0,11,0
3614,0.030707,59.4,0,122,1
2075,0.030077,99.5,0,37,0
2462,0.019599,67.4,0,12,0
976,0.002592,6.9,0,4,0
